
2022/12/05 (23:02:27) | ===> btop++ v.1.2.13
2022/12/05 (23:02:27) | WARNING: Failed to join _runner thread on exit!

2022/12/07 (22:47:26) | ===> btop++ v.1.2.13
2022/12/07 (22:47:26) | WARNING: Failed to join _runner thread on exit!

2022/12/07 (22:49:02) | ===> btop++ v.1.2.13
2022/12/07 (22:49:02) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (13:33:27) | ===> btop++ v.1.2.13
2022/12/08 (13:33:27) | WARNING: Failed to join _runner thread on exit!

2022/12/16 (20:20:22) | ===> btop++ v.1.2.13
2022/12/16 (20:20:22) | WARNING: Failed to join _runner thread on exit!
